SettingID;SampleID;Sample;prep_number;process_tool;taxonomy
DA33;DA33_MOCK_B;MOCK_B;PREP5;dada_0;idtaxa
DA33;DA33_MOCK_C;MOCK_C;PREP5;dada_0;idtaxa
DA34;DA34_MOCK_A;MOCK_A;PREP5;dada_0;assigntaxonomy
DA34;DA34_MOCK_B;MOCK_B;PREP5;dada_0;assigntaxonomy
DA34;DA34_MOCK_C;MOCK_C;PREP5;dada_0;assigntaxonomy
DA35;DA35_MOCK_A;MOCK_A;PREP5;dada_0;sintax
DA35;DA35_MOCK_B;MOCK_B;PREP5;dada_0;sintax
DA35;DA35_MOCK_C;MOCK_C;PREP5;dada_0;sintax
DA36;DA36_MOCK_A;MOCK_A;PREP5;dada_0;qiime_taxonomy
DA36;DA36_MOCK_B;MOCK_B;PREP5;dada_0;qiime_taxonomy
DA36;DA36_MOCK_C;MOCK_C;PREP5;dada_0;qiime_taxonomy
DA37;DA37_MOCK_A;MOCK_A;PREP5;dada_1;idtaxa
DA37;DA37_MOCK_B;MOCK_B;PREP5;dada_1;idtaxa
DA37;DA37_MOCK_C;MOCK_C;PREP5;dada_1;idtaxa
DA38;DA38_MOCK_A;MOCK_A;PREP5;dada_1;assigntaxonomy
DA38;DA38_MOCK_B;MOCK_B;PREP5;dada_1;assigntaxonomy
DA38;DA38_MOCK_C;MOCK_C;PREP5;dada_1;assigntaxonomy
DA39;DA39_MOCK_A;MOCK_A;PREP5;dada_1;sintax
DA39;DA39_MOCK_B;MOCK_B;PREP5;dada_1;sintax
DA39;DA39_MOCK_C;MOCK_C;PREP5;dada_1;sintax
DA4;DA4_MOCK_A;MOCK_A;PREP1;dada_0;qiime_taxonomy
DA4;DA4_MOCK_B;MOCK_B;PREP1;dada_0;qiime_taxonomy
DA4;DA4_MOCK_C;MOCK_C;PREP1;dada_0;qiime_taxonomy
DA40;DA40_MOCK_A;MOCK_A;PREP5;dada_1;qiime_taxonomy
DA40;DA40_MOCK_B;MOCK_B;PREP5;dada_1;qiime_taxonomy
DA40;DA40_MOCK_C;MOCK_C;PREP5;dada_1;qiime_taxonomy
DA41;DA41_MOCK_A;MOCK_A;PREP6;dada_0;idtaxa
DA41;DA41_MOCK_B;MOCK_B;PREP6;dada_0;idtaxa
DA41;DA41_MOCK_C;MOCK_C;PREP6;dada_0;idtaxa
DA42;DA42_MOCK_A;MOCK_A;PREP6;dada_0;assigntaxonomy
DA42;DA42_MOCK_B;MOCK_B;PREP6;dada_0;assigntaxonomy
DA42;DA42_MOCK_C;MOCK_C;PREP6;dada_0;assigntaxonomy
DA43;DA43_MOCK_A;MOCK_A;PREP6;dada_0;sintax
DA43;DA43_MOCK_B;MOCK_B;PREP6;dada_0;sintax
DA43;DA43_MOCK_C;MOCK_C;PREP6;dada_0;sintax
DA44;DA44_MOCK_A;MOCK_A;PREP6;dada_0;qiime_taxonomy
DA44;DA44_MOCK_B;MOCK_B;PREP6;dada_0;qiime_taxonomy
DA44;DA44_MOCK_C;MOCK_C;PREP6;dada_0;qiime_taxonomy
DA45;DA45_MOCK_A;MOCK_A;PREP6;dada_1;idtaxa
DA45;DA45_MOCK_B;MOCK_B;PREP6;dada_1;idtaxa
DA45;DA45_MOCK_C;MOCK_C;PREP6;dada_1;idtaxa
DA46;DA46_MOCK_A;MOCK_A;PREP6;dada_1;assigntaxonomy
DA46;DA46_MOCK_B;MOCK_B;PREP6;dada_1;assigntaxonomy
DA46;DA46_MOCK_C;MOCK_C;PREP6;dada_1;assigntaxonomy
DA47;DA47_MOCK_A;MOCK_A;PREP6;dada_1;sintax
DA47;DA47_MOCK_B;MOCK_B;PREP6;dada_1;sintax
DA47;DA47_MOCK_C;MOCK_C;PREP6;dada_1;sintax
DA48;DA48_MOCK_A;MOCK_A;PREP6;dada_1;qiime_taxonomy
DA48;DA48_MOCK_B;MOCK_B;PREP6;dada_1;qiime_taxonomy
DA48;DA48_MOCK_C;MOCK_C;PREP6;dada_1;qiime_taxonomy
DA5;DA5_MOCK_A;MOCK_A;PREP1;dada_1;idtaxa
DA5;DA5_MOCK_B;MOCK_B;PREP1;dada_1;idtaxa
DA5;DA5_MOCK_C;MOCK_C;PREP1;dada_1;idtaxa
DA6;DA6_MOCK_A;MOCK_A;PREP1;dada_1;assigntaxonomy
DA6;DA6_MOCK_B;MOCK_B;PREP1;dada_1;assigntaxonomy
DA6;DA6_MOCK_C;MOCK_C;PREP1;dada_1;assigntaxonomy
DA7;DA7_MOCK_A;MOCK_A;PREP1;dada_1;sintax
DA7;DA7_MOCK_B;MOCK_B;PREP1;dada_1;sintax
DA7;DA7_MOCK_C;MOCK_C;PREP1;dada_1;sintax
DA8;DA8_MOCK_A;MOCK_A;PREP1;dada_1;qiime_taxonomy
DA8;DA8_MOCK_B;MOCK_B;PREP1;dada_1;qiime_taxonomy
DA8;DA8_MOCK_C;MOCK_C;PREP1;dada_1;qiime_taxonomy
DA9;DA9_MOCK_A;MOCK_A;PREP2;dada_0;idtaxa
DA9;DA9_MOCK_B;MOCK_B;PREP2;dada_0;idtaxa
DA9;DA9_MOCK_C;MOCK_C;PREP2;dada_0;idtaxa
DE1;DE1_MOCK_C;MOCK_C;PREP7;deblur;idtaxa
DE1;DE1_MOCK_A;MOCK_A;PREP7;deblur;idtaxa
